qid,name,category,country,iso,lat,lon,year,century,wikipedia,image,sitelinks,pageviews,fame_rank
Q7535853,Skipton Castle,castle,England,GB-ENG,53.96406,-2.01496,1090,11th century,https://en.wikipedia.org/wiki/Skipton_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Skipton%20Castle%20dg2.JPG?width=1280,13,20836,940
Q2371954,Pendennis Castle,castle,England,GB-ENG,50.1467,-5.0471,1540,16th century,https://en.wikipedia.org/wiki/Pendennis_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Pendennis%20Castle%2C%20Falmouth%20Cornwall.jpg?width=1280,13,19925,946
Q1905802,Fort Saint-Jean,fortress,France,FR,43.29472,5.3625,1660,17th century,https://en.wikipedia.org/wiki/Fort_Saint-Jean_(Marseille),https://commons.wikimedia.org/wiki/Special:FilePath/Marseille-Fort%20Saint-Jean.JPG?width=1280,13,9763,1161
Q606631,Sonnenstein Castle,castle,Germany,DE,50.961,13.9477,,,https://en.wikipedia.org/wiki/Sonnenstein_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Pirna%20Schloss%20Sonnenstein%20Panorama%202011%20%2801-2%29.jpg?width=1280,13,4548,1444
Q1392601,Château de Hautefort,palace,France,FR,45.2596,1.145,,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Hautefort,https://commons.wikimedia.org/wiki/Special:FilePath/Hautefort%20-%20Ch%C3%A2teau%20-1.jpg?width=1280,13,18392,959
Q261084,Château de Lavaux-Sainte-Anne,palace,Belgium,BE,50.11606,5.09157,,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Lavaux-Sainte-Anne,https://commons.wikimedia.org/wiki/Special:FilePath/Lavaux-Sainte-Anne%20AG01.jpg?width=1280,13,1743,1800
Q688899,Biebrich Palace,palace,Germany,DE,50.0375,8.23417,1702,18th century,https://en.wikipedia.org/wiki/Biebrich_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Wiesbaden-Biebrich%20-%20Schloss-Biebrich%20%28KD.HE%202%2009.2015%29.jpg?width=1280,13,8032,1245
Q696851,Schloss Hof,palace,Austria,AT,48.2139,16.9372,1726,18th century,https://en.wikipedia.org/wiki/Schloss_Hof,https://commons.wikimedia.org/wiki/Special:FilePath/Engelhartstetten%20-%20Schloss%20Hof%20%281%29.JPG?width=1280,13,7098,1282
Q526909,Jagdschloss Glienicke,palace,Germany,DE,52.4108,13.0989,,,https://en.wikipedia.org/wiki/Jagdschloss_Glienicke,https://commons.wikimedia.org/wiki/Special:FilePath/Jagdschloss%20Glienicke%202009.jpg?width=1280,13,3295,1589
Q552920,Augustenborg Palace,palace,Denmark,DK,54.94444,9.86639,1664,17th century,https://en.wikipedia.org/wiki/Augustenborg_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Augustenborg%20Gartenfassade.JPG?width=1280,13,3819,1528
Q798615,Kachanivka,palace,Ukraine,UA,50.83667,32.65556,1770,18th century,https://en.wikipedia.org/wiki/Kachanivka,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%A1%D0%B0%D0%B4%D0%B8%D0%B1%D0%B0%20%22%D0%9A%D0%B0%D1%87%D0%B0%D0%BD%D1%96%D0%B2%D0%BA%D0%B0%22.jpg?width=1280,13,2164,1744
Q1746455,Kultaranta,palace,Finland,FI,60.46765,21.99911,1914,20th century,https://en.wikipedia.org/wiki/Kultaranta,https://commons.wikimedia.org/wiki/Special:FilePath/14A2973-1.jpg?width=1280,13,8673,1210
Q1765935,Château de Madrid,palace,France,FR,48.87417,2.255,1528,16th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Madrid,https://commons.wikimedia.org/wiki/Special:FilePath/Corbel011%20Le%20ch%C3%A2teau%20de%20Madrid%20%28Magasin%20pittoresque%29.jpg?width=1280,13,4850,1428
Q1789782,Château de Candé,palace,France,FR,47.29694,0.66556,,,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Cand%C3%A9,https://commons.wikimedia.org/wiki/Special:FilePath/ChateauCand%C3%A9-B.jpg?width=1280,13,8851,1197
Q2094403,Gunnebo House,palace,Sweden,SE,57.65806,12.05833,1778,18th century,https://en.wikipedia.org/wiki/Gunnebo_House,https://commons.wikimedia.org/wiki/Special:FilePath/Gunnebo%20slott%20huvudfasaden%20mot%20tr%C3%A4dg%C3%A5rden.jpg?width=1280,13,3125,1611
Q885086,Schloss Braunfels,palace,Germany,DE,50.51381,8.38757,,,https://en.wikipedia.org/wiki/Braunfels_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Braunfels.jpg?width=1280,13,33536,817
Q664880,Schloss Hetzendorf,palace,Austria,AT,48.1661,16.3083,1694,17th century,https://en.wikipedia.org/wiki/Schloss_Hetzendorf,https://commons.wikimedia.org/wiki/Special:FilePath/IHetzendorfSchloss1.JPG?width=1280,13,4456,1456
Q1436883,Château de Maintenon,palace,France,FR,48.58545,1.57834,1700,17th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Maintenon,https://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Maintenon%202008.jpg?width=1280,13,8702,1209
Q878253,Schloss Weimar,palace,Germany,DE,50.98028,11.33222,,,https://en.wikipedia.org/wiki/Schloss_Weimar,https://commons.wikimedia.org/wiki/Special:FilePath/Luftbild%20Weimarer%20Stadtschloss-0063.jpg?width=1280,13,7048,1288
